Nombre de Comunidad;Código de Provincia;Nombre de Provincia;Población;Total votantes;Votos en blanco;Votos nulos;PP;PSOE;C's;PODEMOS;EN COMÚ;IU-UPeC;PODEMOS-COM;ERC-CATSI;DL;PODEMOS-En;EAJ-PNV;PACMA;EH Bildu;UPYD;CCa-PNC;NÓS;unio.cat;VOX;RECORTES CE;MÉS;PCPE;GBAI;EL PI;CCD;EB;FE de las J;X LA IZQUIE;SOMVAL;PUM+J;SAIn;CENTRO MODE;PT;CANARIAS DE;P-LIB;PH;ARAPV;EU-eX;PCOE;DN;IFem;PREPAL;EN POSITIU;CILUS;CRA;Ln;AVANT;mlgXSÍ;PFyV;AJU;Independien;FDEE;SOLUCIONA;JS,PC;+MAS+;PLD;OE         
Comunidad Foral de Navarra;31;Navarra;640790;356462;3714;3114;102244;54856;24969;81216;0;14528;0;0;0;0;0;2343;34939;1452;0;0;0;0;956;0;0;30642;0;0;0;0;0;0;0;913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;576;0;0;0;0;0;0;0;0;0;0;0
País Vasco;01;Araba - Álava;321932;180941;1292;1764;33683;25331;10512;48413;0;6814;0;0;0;0;28353;1385;21225;768;0;0;0;0;561;0;175;0;0;0;473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;0;0;0;0;0;110
País Vasco;20;Gipuzkoa;715148;391433;2537;2030;33884;51764;14608;98533;0;10722;0;0;0;0;91359;2276;81257;1313;0;0;0;0;782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;368;0;0;0;0;0;0;0;0;0;0;0
País Vasco;48;Bizkaia;1151905;658824;4840;4647;74560;84893;25148;170728;0;18466;0;0;0;0;182604;4342;81704;2012;0;0;0;0;1089;0;414;0;0;0;1045;0;1447;0;479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;406;0;0;0
Región de Murcia;30;Murcia;1466818;733997;4511;6382;293943;147883;128570;110601;0;22767;0;0;0;0;0;6591;0;5442;0;0;0;3282;1268;0;1051;0;0;0;1063;0;0;0;0;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;313;0;0
La Rioja;26;La Rioja;319002;179269;1496;2062;67941;41973;26812;28073;0;7423;0;0;0;0;0;1177;0;1361;0;0;0;0;360;0;229;0;0;0;362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comunitat Valenciana;46;Valencia / València;2548898;1478042;8747;11888;442578;276188;221896;0;0;68961;397207;0;0;0;0;14494;0;9990;0;0;0;4135;2761;0;2091;0;0;7111;0;0;0;5232;0;0;0;0;0;0;0;1482;0;0;0;1002;0;1276;0;0;0;1003;0;0;0;0;0;0;0;0;0;0
Comunitat Valenciana;03;Alicante / Alacant;1868438;913165;5293;7952;297083;188711;154397;0;0;33397;201610;0;0;0;0;8262;0;5570;0;0;0;2227;1761;0;1741;0;0;0;0;0;0;404;0;0;3278;0;0;415;0;608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456;0;0;0;0;0
Comunitat Valenciana;12;Castellón / Castelló;587508;312815;2093;3330;98474;66590;48328;0;0;9605;74732;0;0;0;0;2252;0;1743;0;0;0;921;489;0;509;0;0;2137;0;0;0;467;0;0;0;0;0;0;0;413;0;0;471;261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ciudad de Ceuta;51;Ceuta;84963;33516;413;493;14813;7627;4392;4646;0;431;0;0;0;0;0;358;0;197;0;0;0;0;146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ciudad de Melilla;52;Melilla;84509;28445;299;363;12331;6905;4366;3215;0;366;0;0;0;0;0;314;0;240;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;6;6;5;7;11;12;5;3;7;3;8;8;7;8;5;3;4;5;6;3;5;3;5;4;2;3;3;4;3;4;31;6;6;4;6;4;4;8;7;36;5;4;6;8;10;4;15;12;5;1;1
